id,file,archetype,note,rating,notes
0,patch_000.wav,bass,40,4,
1,patch_001.wav,stab,52,3,
2,patch_002.wav,stab,47,4,
3,patch_003.wav,stab,57,4,
4,patch_004.wav,stab,58,3,
5,patch_005.wav,bass,42,3,
6,patch_006.wav,bass,43,4,
7,patch_007.wav,bass,37,2,
8,patch_008.wav,stab,54,3,
9,patch_009.wav,stab,58,3,
10,patch_010.wav,stab,57,4,
11,patch_011.wav,reese,40,5,thiccER THAN A BOWL OF OATMEAL
12,patch_012.wav,stab,49,,
13,patch_013.wav,stab,60,1,
14,patch_014.wav,reese,44,3,
15,patch_015.wav,reese,41,4,
16,patch_016.wav,reese,45,3,
17,patch_017.wav,stab,55,1,"lame as hell, just flat"
18,patch_018.wav,stab,47,1,"just flat, didnt really feel much"
19,patch_019.wav,reese,41,4,"its a low 4, but really thic sound"
20,patch_020.wav,reese,40,3,
21,patch_021.wav,stab,52,2,
22,patch_022.wav,reese,41,3,
23,patch_023.wav,stab,54,1,too sharp
24,patch_024.wav,bass,40,2,
25,patch_025.wav,reese,42,3,
26,patch_026.wav,reese,34,3,
27,patch_027.wav,bass,33,2,
28,patch_028.wav,stab,48,3,
29,patch_029.wav,bass,35,4,
30,patch_030.wav,reese,43,3,
31,patch_031.wav,bass,35,3,
32,patch_032.wav,reese,41,1,clipping 
33,patch_033.wav,reese,38,4,slight clipping but awesome sound
34,patch_034.wav,reese,44,4,
35,patch_035.wav,bass,36,1,
36,patch_036.wav,stab,50,1,"very quiet, terrible"
37,patch_037.wav,bass,33,3,
38,patch_038.wav,bass,33,4,
39,patch_039.wav,reese,44,4,
40,patch_040.wav,bass,38,5,
41,patch_041.wav,bass,37,5,
42,patch_042.wav,reese,39,5,
43,patch_043.wav,bass,39,4,
44,patch_044.wav,stab,57,1,
45,patch_045.wav,bass,43,3,
46,patch_046.wav,bass,37,5,
47,patch_047.wav,reese,45,5,little clippy but electrical feeling
