id,file,archetype,note,rating,notes
0,patch_000.wav,keys,49,2,
1,patch_001.wav,bass,42,3,
2,patch_002.wav,keys,54,3,
3,patch_003.wav,reese,41,3,
4,patch_004.wav,stab,60,1,
5,patch_005.wav,lead,62,1,loud hurt my ears typa sound
6,patch_006.wav,lead,65,1,also pretty loud
7,patch_007.wav,pluck,49,1,barely heard this at all
8,patch_008.wav,reese,38,2,eh little muddy
9,patch_009.wav,stab,51,2,
10,patch_010.wav,bass,43,4,"very clear, sounded legitimate"
11,patch_011.wav,bass,43,3,
12,patch_012.wav,pluck,59,1,
13,patch_013.wav,bass,42,3,
14,patch_014.wav,reese,42,5,sounded like notion
15,patch_015.wav,lead,57,2,
16,patch_016.wav,bass,41,3,
17,patch_017.wav,reese,43,4,
18,patch_018.wav,bass,35,5,
19,patch_019.wav,reese,42,5,literally beautiful
20,patch_020.wav,pluck,56,2,mario kart sounding 3 2 1 ass sound
21,patch_021.wav,pluck,50,1,barely heard this
22,patch_022.wav,bass,41,3,
23,patch_023.wav,keys,62,1,
24,patch_024.wav,pluck,49,1,jut made one beep lol
25,patch_025.wav,stab,53,1,mario kart ass sound
26,patch_026.wav,lead,58,1,
27,patch_027.wav,reese,33,3,
28,patch_028.wav,reese,41,5,
29,patch_029.wav,stab,54,2,
30,patch_030.wav,reese,38,4,
31,patch_031.wav,bass,37,3,
32,patch_032.wav,pad,56,4,
33,patch_033.wav,reese,33,5,
34,patch_034.wav,pluck,56,1,
35,patch_035.wav,bass,43,2,
36,patch_036.wav,reese,38,4,
37,patch_037.wav,pluck,57,1,
38,patch_038.wav,pad,48,2,
39,patch_039.wav,bass,42,3,
40,patch_040.wav,keys,61,2,
41,patch_041.wav,keys,62,1,
42,patch_042.wav,reese,38,3,
43,patch_043.wav,pluck,51,1,
44,patch_044.wav,pluck,52,1,
45,patch_045.wav,bass,36,3,
46,patch_046.wav,reese,35,3,
47,patch_047.wav,lead,59,1,
